内蒙古电信-组播1,#genre#
哈哈炫动,http://123.179.61.252:4022/rtp/239.29.0.128:5000
呼市新闻综合,http://123.179.61.252:4022/rtp/239.29.0.35:5000
呼市影视娱乐,http://123.179.61.252:4022/rtp/239.29.0.37:5000
包头经济频道,http://123.179.61.252:4022/rtp/239.29.0.204:5000
包头生活服务,http://123.179.61.252:4022/rtp/239.29.0.112:5000
包头新闻综合,http://123.179.61.252:4022/rtp/239.29.0.111:5000
乌海新闻综合,http://123.179.61.252:4022/rtp/239.29.0.11:5000
乌海都市生活,http://123.179.61.252:4022/rtp/239.29.0.12:5000
赤峰新闻综合,http://123.179.61.252:4022/rtp/239.29.0.13:5000
赤峰经济服务,http://123.179.61.252:4022/rtp/239.29.0.14:5000
赤峰影视娱乐,http://123.179.61.252:4022/rtp/239.29.0.15:5000
通辽城市服务,http://123.179.61.252:4022/rtp/239.29.0.42:5000
通辽新闻综合,http://123.179.61.252:4022/rtp/239.29.0.41:5000
通辽蒙语频道,http://123.179.61.252:4022/rtp/239.29.0.40:5000
呼伦贝尔新闻综合,http://123.179.61.252:4022/rtp/239.29.0.19:5000
呼伦贝尔文化旅游,http://123.179.61.252:4022/rtp/239.29.0.20:5000
呼伦贝尔生活资讯,http://123.179.61.252:4022/rtp/239.29.0.21:5000
巴彦淖尔新闻综合,http://123.179.61.252:4022/rtp/239.29.0.25:5000
巴彦淖尔经济生活,http://123.179.61.252:4022/rtp/239.29.0.26:5000
巴彦淖尔影视娱乐,http://123.179.61.252:4022/rtp/239.29.0.27:5000
鄂尔多斯新闻综合,http://123.179.61.252:4022/rtp/239.29.0.30:5000
鄂尔多斯经济服务,http://123.179.61.252:4022/rtp/239.29.0.31:5000
鄂尔多斯蒙语频道,http://123.179.61.252:4022/rtp/239.29.0.33:5000
锡林郭勒1,http://123.179.61.252:4022/rtp/239.29.0.38:5000
锡林郭勒2,http://123.179.61.252:4022/rtp/239.29.0.39:5000
杭后电视台,http://123.179.61.252:4022/rtp/239.29.0.149:5000
达茂电视台,http://123.179.61.252:4022/rtp/239.29.1.101:5000
库伦电视台,http://123.179.61.252:4022/rtp/239.29.1.100:5000
丰镇电视台,http://123.179.61.252:4022/rtp/239.29.1.103:5000
突泉电视台,http://123.179.61.252:4022/rtp/239.29.0.174:5000
阿尔山电视台,http://123.179.61.252:4022/rtp/239.29.1.112:5000
托克托电视台,http://123.179.61.252:4022/rtp/239.29.0.146:5000
额济纳新闻综合,http://123.179.61.252:4022/rtp/239.29.0.177:5000
西乌电视台,http://123.179.61.252:4022/rtp/239.29.0.181:5000
准格尔综合频道,http://123.179.61.252:4022/rtp/239.29.0.192:5000
伊金霍洛旗综合,http://123.179.61.252:4022/rtp/239.29.1.105:5000
苏尼特左旗,http://123.179.61.252:4022/rtp/239.29.0.190:5000
苏尼特右旗,http://123.179.61.252:4022/rtp/239.29.0.191:5000
乌拉特前旗,http://123.179.61.252:4022/rtp/239.29.0.150:5000
乌拉特中旗,http://123.179.61.252:4022/rtp/239.29.0.152:5000
乌拉特后旗,http://123.179.61.252:4022/rtp/239.29.0.151:5000
乌盟经济生活,http://123.179.61.252:4022/rtp/239.29.0.23:5000
乌盟新闻综合,http://123.179.61.252:4022/rtp/239.29.0.22:5000
兴安新闻综合,http://123.179.61.252:4022/rtp/239.29.0.16:5000
兴安文化旅游,http://123.179.61.252:4022/rtp/239.29.0.17:5000
兴安影视娱乐,http://123.179.61.252:4022/rtp/239.29.0.18:5000
阿拉善新闻综合,http://123.179.61.252:4022/rtp/239.29.0.28:5000
XHTV,http://123.179.61.252:4022/rtp/239.29.0.187:5000
ELTV,http://123.179.61.252:4022/rtp/239.29.1.113:5000
五原,http://123.179.61.252:4022/rtp/239.29.0.148:5000
磴口,http://123.179.61.252:4022/rtp/239.29.0.156:5000
武川,http://123.179.61.252:4022/rtp/239.29.0.182:5000
扎兰屯,http://123.179.61.252:4022/rtp/239.29.1.109:5000
阿巴嘎,http://123.179.61.252:4022/rtp/239.29.0.184:5000
翁牛特,http://123.179.61.252:4022/rtp/239.29.0.186:5000
满洲里,http://123.179.61.252:4022/rtp/239.29.0.34:5000
阿右旗,http://123.179.61.252:4022/rtp/239.29.0.175:5000
正蓝旗,http://123.179.61.252:4022/rtp/239.29.0.147:5000
东乌旗,http://123.179.61.252:4022/rtp/239.29.0.180:5000
土左旗,http://123.179.61.252:4022/rtp/239.29.0.188:5000
太仆寺旗,http://123.179.61.252:4022/rtp/239.29.0.154:5000
科右中旗,http://123.179.61.252:4022/rtp/239.29.0.178:5000
正镶白旗,http://123.179.61.252:4022/rtp/239.29.0.153:5000
扎赉特旗,http://123.179.61.252:4022/rtp/239.29.0.185:5000
察右中旗,http://123.179.61.252:4022/rtp/239.29.1.106:5000
喀喇沁县,http://123.179.61.252:4022/rtp/239.29.1.150:5000
