湖北电信,#genre#
CCTV8,http://60.176.127.140:55555/udp/233.50.200.110:5140
CCTV8,http://60.176.127.140:55555/udp/233.50.201.199:5140
CCTV9,http://60.176.127.140:55555/udp/233.50.200.23:5140
CCTV9,http://60.176.127.140:55555/udp/233.50.201.121:5140
CCTV10,http://60.176.127.140:55555/udp/233.50.200.22:5140
CCTV10,http://60.176.127.140:55555/udp/233.50.201.122:5140
CCTV11,http://60.176.127.140:55555/udp/233.50.201.11:5140
CCTV12,http://60.176.127.140:55555/udp/233.50.200.21:5140
CCTV12,http://60.176.127.140:55555/udp/233.50.201.123:5140
CCTV13,http://60.176.127.140:55555/udp/233.50.200.111:5140
CCTV13,http://60.176.127.140:55555/udp/233.50.201.246:5140
CCTV14,http://60.176.127.140:55555/udp/233.50.200.103:5140
CCTV14,http://60.176.127.140:55555/udp/233.50.200.20:5140
CCTV14,http://60.176.127.140:55555/udp/233.50.201.124:5140
CCTV16,http://60.176.127.140:55555/udp/233.50.200.112:5140
CCTV16,http://60.176.127.140:55555/udp/233.50.201.192:5140
CCTV17,http://60.176.127.140:55555/udp/233.50.200.113:5140
CCTV2,http://60.176.127.140:55555/udp/233.50.201.2:5140
CCTV3,http://60.176.127.140:55555/udp/233.50.201.16:5140
CCTV4,http://60.176.127.140:55555/udp/233.50.201.4:5140
CCTV5,http://60.176.127.140:55555/udp/233.50.201.17:5140
CCTV6,http://60.176.127.140:55555/udp/233.50.201.18:5140
CCTV7,http://60.176.127.140:55555/udp/233.50.201.7:5140
CCTV8,http://60.176.127.140:55555/udp/233.50.201.19:5140
CCTV10,http://60.176.127.140:55555/udp/233.50.201.10:5140
CCTV12,http://60.176.127.140:55555/udp/233.50.201.12:5140
CCTV13,http://60.176.127.140:55555/udp/233.50.201.13:5140
CCTV14,http://60.176.127.140:55555/udp/233.50.201.14:5140
CCTV17,http://60.176.127.140:55555/udp/233.50.201.35:5140
CCTV1,http://60.176.127.140:55555/udp/233.50.200.247:5140
CCTV1,http://60.176.127.140:55555/udp/233.50.201.226:5140
CCTV13,http://60.176.127.140:55555/udp/233.50.200.97:5140
CCTV15,http://60.176.127.140:55555/udp/233.50.201.15:5140
CCTV16 4K,http://60.176.127.140:55555/udp/233.50.201.63:5140
