湖北电信-组播1,#genre#
金鹰纪实,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.109:10292$湖北电信
卡酷少儿,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.193:10800
东方财经,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.9:11208
都市剧场,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.4:11178
中华特产,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.18:11262
凤凰中文台,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.20:11274
凤凰资讯台,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.19:11268
九屏导视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.156:10572
四海钓鱼,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.244:11106
CCTV1,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.3:7992
CCTV2,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.154:8998$湖北电信
CCTV4,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.155:9004
CCTV5+,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.99:8568
CCTV7,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.156:9130
CCTV9,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.157:9016
CCTV10,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.158:9022
CCTV11,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.159:9028
CCTV11,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.9:8028
CCTV12,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.160:9034
CCTV13,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.11:8040
CCTV14,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.162:9046$湖北电信
CCTV15,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.13:8052
CCTV17,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.153:10554
湖北综合,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.177:9142
湖北公共新闻,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.179:9154
湖北垄上,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.184:9184
湖北影视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.182:9172
湖北教育,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.180:9160
湖北生活,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.181:9166
湖北经视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.178:9148
武汉综合,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.228:9448$湖北电信
武汉文体,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.4:9664
武汉电视剧,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.229:9454
武汉科技生活,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.2:9652
CETV2,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.183:10734
CETV4,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.175:10686
CGTN,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.7:8016
书法频道,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.189:10776
环球奇观,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.192:9232
国学频道,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.194:9244
新动漫,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.187:10764
老故事,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.85:10150
先锋乒羽,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.143:10494
重庆卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.25:8124
江苏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.17:8076$湖北电信
浙江卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.18:8082
东方卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.2:7986
深圳卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.34:8178
北京卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.16:8070
山东卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.21:8100
天津卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.29:8148
贵州卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.31:8160
四川卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.90:8514$湖北电信
云南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.30:8154
广西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.23:8112
黑龙江卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.92:8526
安徽卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.20:8094
山西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.93:8532
江西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.27:8136
湖北卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.1:7980
旅游卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.24:8118
陕西卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.186:9196
东南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.26:8130
厦门卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.127:10400
吉林卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.91:8520$湖北电信
辽宁卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.19:8088
内蒙古卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.41:8220
湖南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.15:8064
广东卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.22:8106
河南卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.28:8142
河北卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.185:9190
宁夏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.97:8556
甘肃卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.187:9202
青海卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.95:8544$湖北电信
新疆卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.47:8256
西藏卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.35:8184
兵团卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.48:8262
三沙卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.171:10662
金鹰卡通,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.189:9214
卡酷少儿,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.188:9208
山东教育卫视,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.228:11010
重庆汽摩,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.84:10144
财富天下,http://cqknas.myqnapcloud.com:8808/rtp/239.254.96.210:9340
央广购物,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.1:11160
优购物,http://cqknas.myqnapcloud.com:8808/rtp/239.69.1.65:10030
优购物,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.15:11244$湖北电信
聚鲨环球精选,http://cqknas.myqnapcloud.com:8808/rtp/239.69.2.14:11238
