北京联通-组播1,#genre#
中国教育4台,http://114.241.244.75:4022/rtp/239.3.1.56:4120
北京联通-组播2,#genre#
CCTV1,http://114.254.34.19:18888/rtp/239.3.1.129:8008
CCTV2,http://114.254.34.19:18888/rtp/239.3.1.60:8084
CCTV3,http://114.254.34.19:18888/rtp/239.3.1.172:8001
CCTV4,http://114.254.34.19:18888/rtp/239.3.1.105:8092
CCTV5,http://114.254.34.19:18888/rtp/239.3.1.173:8001
CCTV6,http://114.254.34.19:18888/rtp/239.3.1.174:8001
CCTV7,http://114.254.34.19:18888/rtp/239.3.1.61:8104
CCTV8,http://114.254.34.19:18888/rtp/239.3.1.175:8001
CCTV9,http://114.254.34.19:18888/rtp/239.3.1.62:8112
CCTV10,http://114.254.34.19:18888/rtp/239.3.1.63:8116
CCTV11,http://114.254.34.19:18888/rtp/239.3.1.152:8120
CCTV12,http://114.254.34.19:18888/rtp/239.3.1.64:8124
CCTV13,http://114.254.34.19:18888/rtp/239.3.1.124:8128
CCTV14,http://114.254.34.19:18888/rtp/239.3.1.65:8132
CCTV15,http://114.254.34.19:18888/rtp/239.3.1.153:8136
CCTV16,http://114.254.34.19:18888/rtp/239.3.1.184:8001
CCTV17,http://114.254.34.19:18888/rtp/239.3.1.151:8144
CCTV5+,http://114.254.34.19:18888/rtp/239.3.1.130:8004
CCTV4欧洲,http://114.254.34.19:18888/rtp/239.3.1.213:4220
CCTV4美洲,http://114.254.34.19:18888/rtp/239.3.1.214:4220
北京卫视,http://114.254.34.19:18888/rtp/239.3.1.241:8000
北京文艺,http://114.254.34.19:18888/rtp/239.3.1.242:8000
北京纪实科教,http://114.254.34.19:18888/rtp/239.3.1.115:8000
北京影视,http://114.254.34.19:18888/rtp/239.3.1.158:8000
北京财经,http://114.254.34.19:18888/rtp/239.3.1.116:8000
北京体育休闲,http://114.254.34.19:18888/rtp/239.3.1.243:8000
北京生活,http://114.254.34.19:18888/rtp/239.3.1.117:8000
北京卡酷少儿,http://114.254.34.19:18888/rtp/239.3.1.189:8000
北京新闻,http://114.254.34.19:18888/rtp/239.3.1.159:8000
