山西联通-组播1,#genre#
CHC高清电影,http://61.240.39.165:8082/rtp/226.0.2.93:8004
CHC动作电影,http://61.240.39.165:8082/rtp/226.0.2.94:8012
CHC家庭影院,http://61.240.39.165:8082/rtp/226.0.2.240:9820
CCTV-世界地理,http://61.240.39.165:8082/rtp/226.0.2.222:9688
CCTV-兵器科技,http://61.240.39.165:8082/rtp/226.0.2.223:9696
CCTV-电视指南,http://61.240.39.165:8082/rtp/226.0.2.218:9656
CCTV-文化精品,http://61.240.39.165:8082/rtp/226.0.2.219:9664
CCTV-央视台球,http://61.240.39.165:8082/rtp/226.0.2.216:9640
CCTV-风云音乐,http://61.240.39.165:8082/rtp/226.0.2.220:9672
CCTV-女性时尚,http://61.240.39.165:8082/rtp/226.0.2.226:9720
湖南卫视,http://61.240.39.165:8082/rtp/226.0.2.143:9056
浙江卫视,http://61.240.39.165:8082/rtp/226.0.2.144:9064
安徽卫视,http://61.240.39.165:8082/rtp/226.0.2.145:9072
广东卫视,http://61.240.39.165:8082/rtp/226.0.2.146:9080
深圳卫视,http://61.240.39.165:8082/rtp/226.0.2.147:9088
天津卫视,http://61.240.39.165:8082/rtp/226.0.2.148:9096
山东卫视,http://61.240.39.165:8082/rtp/226.0.2.149:9104
湖北卫视,http://61.240.39.165:8082/rtp/226.0.2.150:9112
东南卫视,http://61.240.39.165:8082/rtp/226.0.2.188:9416
黑龙江卫视,http://61.240.39.165:8082/rtp/226.0.2.151:9120
辽宁卫视,http://61.240.39.165:8082/rtp/226.0.2.173:9296
重庆卫视,http://61.240.39.165:8082/rtp/226.0.2.174:9304
东方卫视,http://61.240.39.165:8082/rtp/226.0.2.175:9312
江苏卫视,http://61.240.39.165:8082/rtp/226.0.2.176:9320
北京卫视,http://61.240.39.165:8082/rtp/226.0.2.177:9328
河北卫视,http://61.240.39.165:8082/rtp/226.0.2.178:9336
四川卫视,http://61.240.39.165:8082/rtp/226.0.2.179:9344
贵州卫视,http://61.240.39.165:8082/rtp/226.0.2.180:9352
广西卫视,http://61.240.39.165:8082/rtp/226.0.2.231:9760
河南卫视,http://61.240.39.165:8082/rtp/226.0.2.52:8328
江西卫视,http://61.240.39.165:8082/rtp/226.0.2.54:8344
吉林卫视,http://61.240.39.165:8082/rtp/226.0.2.58:8376
