江苏电信,#genre#
梨园频道,http://219.140.226.27:5555/rtp/239.69.1.33:9838
武术世界,http://219.140.226.27:5555/rtp/239.69.1.47:9922
快乐垂钓,http://219.140.226.27:5555/rtp/239.69.1.142:10488
茶频道,http://219.140.226.27:5555/rtp/239.69.1.144:10500
湖北公共新闻,http://119.98.133.10:5555/rtp/239.69.1.40:9880
湖北经视频道,http://119.98.133.10:5555/rtp/239.69.1.41:9886
湖北综合频道,http://119.98.133.10:5555/rtp/239.69.1.42:9892
湖北垄上频道,http://119.98.133.10:5555/rtp/239.69.1.43:9898
湖北影视频道,http://119.98.133.10:5555/rtp/239.69.1.204:10866
湖北生活频道,http://119.98.133.10:5555/rtp/239.69.1.205:10872
湖北教育频道,http://119.98.133.10:5555/rtp/239.69.1.206:10878
CCTV-1,http://119.98.133.10:5555/rtp/239.254.96.96:8550
CCTV-2,http://119.98.133.10:5555/rtp/239.69.1.102:10250
CCTV-3,http://119.98.133.10:5555/rtp/239.69.1.122:10370
CCTV-4,http://119.98.133.10:5555/rtp/239.69.1.138:10466
CCTV-5,http://119.98.133.10:5555/rtp/239.69.1.123:10376
CCTV-6,http://119.98.133.10:5555/rtp/239.69.1.124:10382
CCTV-7,http://119.98.133.10:5555/rtp/239.69.1.103:10256
CCTV-8,http://119.98.133.10:5555/rtp/239.69.1.125:10388
CCTV-9,http://119.98.133.10:5555/rtp/239.69.1.104:10262
CCTV-10,http://119.98.133.10:5555/rtp/239.69.1.105:10268
CCTV-11,http://119.98.133.10:5555/rtp/239.69.1.154:10560
CCTV-12,http://119.98.133.10:5555/rtp/239.69.1.106:10274
CCTV-13,http://119.98.133.10:5555/rtp/239.254.96.161:9040
CCTV-14,http://119.98.133.10:5555/rtp/239.69.1.107:10280
CCTV-15,http://119.98.133.10:5555/rtp/239.69.1.155:10566
CCTV-16,http://119.98.133.10:5555/rtp/239.69.1.247:11124
CCTV-17,http://119.98.133.10:5555/rtp/239.69.1.152:10548
CCTV-5+,http://119.98.133.10:5555/rtp/239.254.96.234:9484
CCTV 4K,http://119.98.133.10:5555/rtp/239.69.1.12:9712
CCTV-16,http://119.98.133.10:5555/rtp/239.69.1.249:11136
CHC-影迷电影,http://119.98.133.10:5555/rtp/239.69.1.241:11088
CHC-动作电影,http://119.98.133.10:5555/rtp/239.69.1.242:11094
CHC-家庭影院,http://119.98.133.10:5555/rtp/239.69.1.243:11100
湖北卫视,http://119.98.133.10:5555/rtp/239.254.96.115:8664
河北卫视,http://119.98.133.10:5555/rtp/239.254.96.113:9616
深圳卫视,http://119.98.133.10:5555/rtp/239.254.96.137:8896
