北京联通,#genre#
CGTN 法语,http://123.113.180.246:9000/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://123.113.180.246:9000/rtp/239.3.1.219:4220
CGTN 俄语,http://123.113.180.246:9000/rtp/239.3.1.220:4220
茶频道,http://123.113.180.246:9000/rtp/239.3.1.165:8001
淘精彩,http://123.113.180.246:9000/rtp/239.3.1.178:8001
快乐垂钓,http://123.113.180.246:9000/rtp/239.3.1.164:8001
CETV1,http://123.113.180.246:9000/rtp/239.3.1.57:8152
CETV2,http://123.113.180.246:9000/rtp/239.3.1.54:4120
CETV3,http://123.113.180.246:9000/rtp/239.3.1.55:4120
CETV4,http://123.113.180.246:9000/rtp/239.3.1.56:4120
少儿动画,http://123.113.180.246:9000/rtp/239.3.1.199:9000
热播剧场,http://123.113.180.246:9000/rtp/239.3.1.194:9020
解密,http://123.113.180.246:9000/rtp/239.3.1.75:4120
军事,http://123.113.180.246:9000/rtp/239.3.1.76:4120
军旅剧场,http://123.113.180.246:9000/rtp/239.3.1.68:4120
动画,http://123.113.180.246:9000/rtp/239.3.1.80:4120
古装剧场,http://123.113.180.246:9000/rtp/239.3.1.69:4120
台球,http://123.113.180.246:9000/rtp/239.3.1.85:4120
嘉佳卡通,http://123.113.180.246:9000/rtp/239.3.1.147:9268
国学,http://123.113.180.246:9000/rtp/239.3.1.77:4120
城市剧场,http://123.113.180.246:9000/rtp/239.3.1.67:4120
墨宝,http://123.113.180.246:9000/rtp/239.3.1.83:4120
好学生,http://123.113.180.246:9000/rtp/239.3.1.81:4120
山东教育,http://123.113.180.246:9000/rtp/239.3.1.52:4120
戏曲,http://123.113.180.246:9000/rtp/239.3.1.78:4120
收视指南,http://123.113.180.246:9000/rtp/239.3.1.193:8012
早教,http://123.113.180.246:9000/rtp/239.3.1.79:4120
武侠剧场,http://123.113.180.246:9000/rtp/239.3.1.90:4120
武术,http://123.113.180.246:9000/rtp/239.3.1.87:4120
爱生活,http://123.113.180.246:9000/rtp/239.3.1.86:4120
美人,http://123.113.180.246:9000/rtp/239.3.1.73:4120
美妆,http://123.113.180.246:9000/rtp/239.3.1.72:4120
财富天下,http://123.113.180.246:9000/rtp/239.3.1.53:9136
足球,http://123.113.180.246:9000/rtp/239.3.1.89:4120
金鹰卡通,http://123.113.180.246:9000/rtp/239.3.1.51:9252
鉴赏,http://123.113.180.246:9000/rtp/239.3.1.82:4120
音乐现场,http://123.113.180.246:9000/rtp/239.3.1.70:4120
高网,http://123.113.180.246:9000/rtp/239.3.1.88:4120
魅力时尚,http://123.113.180.246:9000/rtp/239.3.1.196:9012
