湖南电信,#genre#
云南卫视,http://220.168.240.238:9999/udp/239.76.254.60:9000
青海卫视,http://220.168.240.238:9999/udp/239.76.254.132:9000
甘肃卫视,http://220.168.240.238:9999/udp/239.76.253.94:9000
张家界综合,http://220.168.240.238:9999/udp/239.76.252.234:9000
张家界2,http://220.168.240.238:9999/udp/239.76.252.235:9000
怀化综合,http://220.168.240.238:9999/udp/239.76.255.12:9000
IPTV高清院线,http://220.168.240.238:9999/udp/239.76.252.217:9000
IPTV抗战剧场,http://220.168.240.238:9999/udp/239.76.252.218:9000
IPTV古装剧场,http://220.168.240.238:9999/udp/239.76.252.219:9000
IPTV经典剧场,http://220.168.240.238:9999/udp/239.76.252.221:9000
IPTV家庭剧场,http://220.168.240.238:9999/udp/239.76.252.220:9000
IPTV戏曲频道,http://220.168.240.238:9999/udp/239.76.253.40:9000
IPTV故事频道,http://220.168.240.238:9999/udp/239.76.253.41:9000
IPTV健康之路,http://220.168.240.238:9999/udp/239.76.253.42:9000
IPTV综艺纪实,http://220.168.240.238:9999/udp/239.76.254.111:9000
IPTV精选热播,http://220.168.240.238:9999/udp/239.76.254.110:9000
IPTV搞笑动画,http://220.168.240.238:9999/udp/239.76.254.207:9000
IPTV甜宠剧场,http://220.168.240.238:9999/udp/239.76.254.109:9000
IPTV5,http://220.168.240.238:9999/udp/239.76.252.222:9000
金色夕阳,http://220.168.240.238:9999/udp/239.76.254.43:9000
北京少儿,http://220.168.240.238:9999/udp/239.76.254.81:9000
快乐垂钓,http://220.168.240.238:9999/udp/239.76.253.5:9000
IPTV戏剧,http://220.168.240.238:9999/udp/239.76.253.40:9000
IPTV故事,http://220.168.240.238:9999/udp/239.76.253.41:9000
IPTV健康之路,http://220.168.240.238:9999/udp/239.76.253.42:9000
CGTN俄语,http://220.168.240.238:9999/udp/239.76.253.86:9000
CGTN法语,http://220.168.240.238:9999/udp/239.76.253.87:9000
CGTN阿拉伯语,http://220.168.240.238:9999/udp/239.76.253.97:9000
CGTN西班牙语,http://220.168.240.238:9999/udp/239.76.253.88:9000
CCTV4美洲,http://220.168.240.238:9999/udp/239.76.253.96:9000
CCTV4欧洲,http://220.168.240.238:9999/udp/239.76.253.95:9000
长沙新闻,http://220.168.240.238:9999/udp/239.76.253.121:9000
长沙政法,http://220.168.240.238:9999/udp/239.76.253.122:9000
芒果汽车,http://220.168.240.238:9999/udp/239.76.253.123:9000
IPTV芒果互娱,http://220.168.240.238:9999/udp/239.76.253.126:9000
欢笑剧场4K,http://220.168.240.238:9999/udp/239.76.253.130:9000
游戏风云,http://220.168.240.238:9999/udp/239.76.253.132:9000
极速汽车,http://220.168.240.238:9999/udp/239.76.253.133:9000
动漫秀场,http://220.168.240.238:9999/udp/239.76.253.131:9000
体育,http://220.168.240.238:9999/udp/239.76.253.136:9000
全纪实,http://220.168.240.238:9999/udp/239.76.253.137:9000
金色学堂,http://220.168.240.238:9999/udp/239.76.253.139:9000
法治天地,http://220.168.240.238:9999/udp/239.76.253.138:9000
都市剧场,http://220.168.240.238:9999/udp/239.76.253.215:9000
生活时尚,http://220.168.240.238:9999/udp/239.76.253.223:9000
长沙女姓,http://220.168.240.238:9999/udp/239.76.252.23:9000
IPTV 4k电影,http://220.168.240.238:9999/udp/239.76.252.35:9000
CGTN英语高清,http://220.168.240.238:9999/udp/239.76.252.66:9000
CGTN纪录高清,http://220.168.240.238:9999/udp/239.76.252.67:9000
快乐垂钓,http://220.168.240.238:9999/udp/239.76.252.127:9000
IPTV广场舞,http://220.168.240.238:9999/udp/239.76.252.134:9000
IPTV电竞,http://220.168.240.238:9999/udp/239.76.252.136:9000
河南梨园,http://220.168.240.238:9999/udp/239.76.252.179:9000
文物宝库,http://220.168.240.238:9999/udp/239.76.252.180:9000
武术世界,http://220.168.240.238:9999/udp/239.76.252.181:9000
广东卫视,http://220.168.240.238:9999/udp/239.76.252.189:9000
东南卫视,http://220.168.240.238:9999/udp/239.76.252.190:9000
中国教育1,http://220.168.240.238:9999/udp/239.76.252.192:9000
安徽卫视,http://220.168.240.238:9999/udp/239.76.252.196:9000
辽宁卫视,http://220.168.240.238:9999/udp/239.76.252.197:9000
河北卫视,http://220.168.240.238:9999/udp/239.76.252.199:9000
贵州卫视,http://220.168.240.238:9999/udp/239.76.252.198:9000
芒果乐搜,http://220.168.240.238:9999/udp/239.76.252.200:9000
长沙影视,http://220.168.240.238:9999/udp/239.76.252.204:9000
湘西综合,http://220.168.240.238:9999/udp/239.76.252.208:9000
湘西公共,http://220.168.240.238:9999/udp/239.76.252.209:9000
湘西公共,http://220.168.240.238:9999/udp/239.76.252.210:9000
IPTV电竞,http://220.168.240.238:9999/udp/239.76.252.214:9000
芒果乐淘,http://220.168.240.238:9999/udp/239.76.252.215:9000
IPTV高清院线,http://220.168.240.238:9999/udp/239.76.252.217:9000
IPTV抗战剧场,http://220.168.240.238:9999/udp/239.76.252.218:9000
IPTV古装剧场,http://220.168.240.238:9999/udp/239.76.252.219:9000
IPTV经典剧场,http://220.168.240.238:9999/udp/239.76.252.221:9000
IPTV家庭剧场,http://220.168.240.238:9999/udp/239.76.252.220:9000
IPTV5,http://220.168.240.238:9999/udp/239.76.252.222:9000
湖南教育,http://220.168.240.238:9999/udp/239.76.252.233:9000

湖南卫视,http:///udp/239.76.246.101:1234
湖南卫视,http:///udp/239.76.246.100:1234
湖南经视,http:///udp/239.76.246.103:1234
湖南国际,http:///udp/239.76.246.102:1234
湖南都市,http:///udp/239.76.246.104:1234
湖南娱乐,http:///udp/239.76.246.105:1234
湖南电影,http:///udp/239.76.246.106:1234
湖南公共,http:///udp/239.76.246.109:1234
湖南电视剧,http:///udp/239.76.246.108:1234
金鹰卡通,http:///udp/239.76.246.107:1234
金鹰纪实,http:///udp/239.76.246.110:1234
凤凰资讯,http:///udp/239.76.246.8:1234
凤凰中文,http:///udp/239.76.246.7:1234
凤凰中文,http:///udp/239.76.246.134:1234
凤凰中文,http:///udp/239.76.253.135:9000
凤凰资讯,http:///udp/239.76.253.134:9000
凤凰资讯,http:///udp/239.76.246.135:1234
凤凰中文,http:///udp/239.76.253.135:9000
凤凰资讯,http:///udp/239.76.253.134:9000
